date_id,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend,is_canadian_holiday,fiscal_quarter
20220101,2022-01-01,1,1,January,1,2022,Saturday,True,True,Q1
20220102,2022-01-02,2,1,January,1,2022,Sunday,True,False,Q1
20220103,2022-01-03,3,1,January,1,2022,Monday,False,False,Q1
20220104,2022-01-04,4,1,January,1,2022,Tuesday,False,False,Q1
20220105,2022-01-05,5,1,January,1,2022,Wednesday,False,False,Q1
20220106,2022-01-06,6,1,January,1,2022,Thursday,False,False,Q1
20220107,2022-01-07,7,1,January,1,2022,Friday,False,False,Q1
20220108,2022-01-08,8,1,January,1,2022,Saturday,True,False,Q1
20220109,2022-01-09,9,1,January,1,2022,Sunday,True,False,Q1
20220110,2022-01-10,10,1,January,1,2022,Monday,False,False,Q1
20220111,2022-01-11,11,1,January,1,2022,Tuesday,False,False,Q1
20220112,2022-01-12,12,1,January,1,2022,Wednesday,False,False,Q1
20220113,2022-01-13,13,1,January,1,2022,Thursday,False,False,Q1
20220114,2022-01-14,14,1,January,1,2022,Friday,False,False,Q1
20220115,2022-01-15,15,1,January,1,2022,Saturday,True,False,Q1
20220116,2022-01-16,16,1,January,1,2022,Sunday,True,False,Q1
20220117,2022-01-17,17,1,January,1,2022,Monday,False,False,Q1
20220118,2022-01-18,18,1,January,1,2022,Tuesday,False,False,Q1
20220119,2022-01-19,19,1,January,1,2022,Wednesday,False,False,Q1
20220120,2022-01-20,20,1,January,1,2022,Thursday,False,False,Q1
20220121,2022-01-21,21,1,January,1,2022,Friday,False,False,Q1
20220122,2022-01-22,22,1,January,1,2022,Saturday,True,False,Q1
20220123,2022-01-23,23,1,January,1,2022,Sunday,True,False,Q1
20220124,2022-01-24,24,1,January,1,2022,Monday,False,False,Q1
20220125,2022-01-25,25,1,January,1,2022,Tuesday,False,False,Q1
20220126,2022-01-26,26,1,January,1,2022,Wednesday,False,False,Q1
20220127,2022-01-27,27,1,January,1,2022,Thursday,False,False,Q1
20220128,2022-01-28,28,1,January,1,2022,Friday,False,False,Q1
20220129,2022-01-29,29,1,January,1,2022,Saturday,True,False,Q1
20220130,2022-01-30,30,1,January,1,2022,Sunday,True,False,Q1
20220131,2022-01-31,31,1,January,1,2022,Monday,False,False,Q1
20220201,2022-02-01,1,2,February,1,2022,Tuesday,False,False,Q1
20220202,2022-02-02,2,2,February,1,2022,Wednesday,False,False,Q1
20220203,2022-02-03,3,2,February,1,2022,Thursday,False,False,Q1
20220204,2022-02-04,4,2,February,1,2022,Friday,False,False,Q1
20220205,2022-02-05,5,2,February,1,2022,Saturday,True,False,Q1
20220206,2022-02-06,6,2,February,1,2022,Sunday,True,False,Q1
20220207,2022-02-07,7,2,February,1,2022,Monday,False,False,Q1
20220208,2022-02-08,8,2,February,1,2022,Tuesday,False,False,Q1
20220209,2022-02-09,9,2,February,1,2022,Wednesday,False,False,Q1
20220210,2022-02-10,10,2,February,1,2022,Thursday,False,False,Q1
20220211,2022-02-11,11,2,February,1,2022,Friday,False,False,Q1
20220212,2022-02-12,12,2,February,1,2022,Saturday,True,False,Q1
20220213,2022-02-13,13,2,February,1,2022,Sunday,True,False,Q1
20220214,2022-02-14,14,2,February,1,2022,Monday,False,False,Q1
20220215,2022-02-15,15,2,February,1,2022,Tuesday,False,False,Q1
20220216,2022-02-16,16,2,February,1,2022,Wednesday,False,False,Q1
20220217,2022-02-17,17,2,February,1,2022,Thursday,False,False,Q1
20220218,2022-02-18,18,2,February,1,2022,Friday,False,False,Q1
20220219,2022-02-19,19,2,February,1,2022,Saturday,True,False,Q1
20220220,2022-02-20,20,2,February,1,2022,Sunday,True,False,Q1
20220221,2022-02-21,21,2,February,1,2022,Monday,False,True,Q1
20220222,2022-02-22,22,2,February,1,2022,Tuesday,False,False,Q1
20220223,2022-02-23,23,2,February,1,2022,Wednesday,False,False,Q1
20220224,2022-02-24,24,2,February,1,2022,Thursday,False,False,Q1
20220225,2022-02-25,25,2,February,1,2022,Friday,False,False,Q1
20220226,2022-02-26,26,2,February,1,2022,Saturday,True,False,Q1
20220227,2022-02-27,27,2,February,1,2022,Sunday,True,False,Q1
20220228,2022-02-28,28,2,February,1,2022,Monday,False,False,Q1
20220301,2022-03-01,1,3,March,1,2022,Tuesday,False,False,Q1
20220302,2022-03-02,2,3,March,1,2022,Wednesday,False,False,Q1
20220303,2022-03-03,3,3,March,1,2022,Thursday,False,False,Q1
20220304,2022-03-04,4,3,March,1,2022,Friday,False,False,Q1
20220305,2022-03-05,5,3,March,1,2022,Saturday,True,False,Q1
20220306,2022-03-06,6,3,March,1,2022,Sunday,True,False,Q1
20220307,2022-03-07,7,3,March,1,2022,Monday,False,False,Q1
20220308,2022-03-08,8,3,March,1,2022,Tuesday,False,False,Q1
20220309,2022-03-09,9,3,March,1,2022,Wednesday,False,False,Q1
20220310,2022-03-10,10,3,March,1,2022,Thursday,False,False,Q1
20220311,2022-03-11,11,3,March,1,2022,Friday,False,False,Q1
20220312,2022-03-12,12,3,March,1,2022,Saturday,True,False,Q1
20220313,2022-03-13,13,3,March,1,2022,Sunday,True,False,Q1
20220314,2022-03-14,14,3,March,1,2022,Monday,False,False,Q1
20220315,2022-03-15,15,3,March,1,2022,Tuesday,False,False,Q1
20220316,2022-03-16,16,3,March,1,2022,Wednesday,False,False,Q1
20220317,2022-03-17,17,3,March,1,2022,Thursday,False,False,Q1
20220318,2022-03-18,18,3,March,1,2022,Friday,False,False,Q1
20220319,2022-03-19,19,3,March,1,2022,Saturday,True,False,Q1
20220320,2022-03-20,20,3,March,1,2022,Sunday,True,False,Q1
20220321,2022-03-21,21,3,March,1,2022,Monday,False,False,Q1
20220322,2022-03-22,22,3,March,1,2022,Tuesday,False,False,Q1
20220323,2022-03-23,23,3,March,1,2022,Wednesday,False,False,Q1
20220324,2022-03-24,24,3,March,1,2022,Thursday,False,False,Q1
20220325,2022-03-25,25,3,March,1,2022,Friday,False,False,Q1
20220326,2022-03-26,26,3,March,1,2022,Saturday,True,False,Q1
