location_id,street_address,city,province,postal_code,region,neighborhood_income_tier,is_branch
1,53397 Wright Shores,Toronto,Ontario,M5H 2N2,Central Canada,Middle,True
2,19606 Glover Cliff Apt. 403,Toronto,Ontario,M4B 1B3,Central Canada,High,True
3,177 Bennett Stream Apt. 161,Toronto,Ontario,M6G 1B1,Central Canada,Middle,True
4,997 Natalie Place Suite 400,Ottawa,Ontario,K1P 5G8,Central Canada,Middle,True
5,56158 Massey Hills,Mississauga,Ontario,L5B 3C1,Central Canada,Low,True
6,1475 James Extensions Suite 524,Hamilton,Ontario,L8P 4S8,Central Canada,Middle,True
7,906 Perez Mission Suite 920,Montreal,Quebec,H3A 0G4,Central Canada,Low,True
8,13926 Scott Fields,Montreal,Quebec,H2X 1Y6,Central Canada,High,True
9,303 Austin Glens,Quebec City,Quebec,G1R 4S9,Central Canada,Middle,True
10,0497 Hannah Manor,Laval,Quebec,H7T 2P5,Central Canada,High,True
11,04628 James Lock,Calgary,Alberta,T2P 2M7,Western Canada,Middle,True
12,74316 Hawkins Rue,Calgary,Alberta,T3A 0A1,Western Canada,Middle,True
13,31332 Gillespie Track Apt. 725,Edmonton,Alberta,T5J 1W9,Western Canada,High,True
14,382 Bailey Village,Edmonton,Alberta,T6G 2R3,Western Canada,High,True
15,684 Mckee Forge,Red Deer,Alberta,T4N 3M4,Western Canada,Middle,True
16,16610 Stephanie Islands,Lethbridge,Alberta,T1J 4L1,Western Canada,Middle,True
17,6389 Wilson Mews,Vancouver,British Columbia,V6C 3E8,Western Canada,Middle,True
18,18177 Thomas Fort,Vancouver,British Columbia,V5K 1A1,Western Canada,Middle,True
19,2432 Stone Hill Apt. 929,Surrey,British Columbia,V3T 1W7,Western Canada,Low,True
20,119 Dodson Islands,Burnaby,British Columbia,V5H 4M9,Western Canada,High,True
21,95116 Tammy Dale Apt. 223,Victoria,British Columbia,V8W 1P6,Western Canada,Low,True
22,559 Grant Land Suite 367,Kelowna,British Columbia,V1Y 6N6,Western Canada,Middle,True
23,13563 Kathy Run Apt. 813,Winnipeg,Manitoba,R3C 4T3,Prairie,Middle,True
24,84369 Sonia Crossing Suite 930,Winnipeg,Manitoba,R2H 0G5,Prairie,High,True
25,528 Kristopher Underpass,Brandon,Manitoba,R7A 6A9,Prairie,Low,True
26,448 King Roads,Saskatoon,Saskatchewan,S7K 1J5,Prairie,Middle,True
27,00580 Thompson Pines Apt. 437,Regina,Saskatchewan,S4P 4K7,Prairie,High,True
28,0109 Marks Motorway Apt. 487,Halifax,Nova Scotia,B3J 3T2,Atlantic Canada,High,True
29,29825 Anderson Ranch,Halifax,Nova Scotia,B3H 1A1,Atlantic Canada,Low,True
