account_id,customer_id,product_id,location_id,open_date_id,close_date_id,account_status,current_balance,credit_limit,original_amount,relationship_manager_id,overdraft_limit,last_activity_date
1,1,1,45,20180716,,Active,48989.27,,,51,500.0,2021-10-17
2,1,8,15,20180306,,Active,824445.79,,1007252.12,65,,2022-06-14
3,2,1,40,20170211,20200402.0,Closed,31720.41,,,10,500.0,2021-11-04
4,2,4,3,20220422,,Active,2993.93,,,77,,2023-07-10
5,2,2,40,20180916,,Active,32779.33,,,87,,2021-03-04
6,2,3,34,20161125,,Active,96372.24,,,49,,2022-03-11
7,3,1,6,20220531,,Active,39131.93,,,4,500.0,2023-08-17
8,3,7,14,20211016,,Active,10490.02,,37306.57,67,,2022-05-19
9,3,5,21,20231201,,Active,77415.77,,,28,,2023-12-19
10,3,6,4,20231222,,Active,1890.84,5000.0,,23,,2023-12-25
11,4,1,16,20190218,,Active,35245.45,,,72,500.0,2023-08-18
12,4,8,12,20180916,,Active,359200.92,,545089.52,4,,2020-01-01
13,4,10,44,20220609,20230720.0,Closed,0.0,,,15,,2022-10-11
14,4,6,45,20210318,,Active,16638.89,25000.0,,88,,2023-01-13
15,5,1,20,20231011,,Active,27573.36,,,63,500.0,2023-10-23
16,5,6,4,20181225,,Active,312.61,1000.0,,47,,2022-07-14
17,5,10,47,20231203,,Active,0.0,,,89,,2023-12-15
18,6,1,11,20220112,,Active,33958.27,,,14,500.0,2023-05-19
19,6,9,40,20230617,,Active,26751.36,163016.05,,7,,2023-10-29
20,6,2,48,20230322,,Active,38890.89,,,81,,2023-11-01
21,7,1,14,20230411,,Active,1400.09,,,23,500.0,2023-04-24
22,7,10,18,20231204,20231209.0,Closed,0.0,,,14,,2023-12-13
23,7,5,32,20210409,,Active,46680.85,,,17,,2022-02-21
24,8,1,39,20170219,,Active,45464.12,,,59,500.0,2021-08-22
25,8,3,29,20210227,,Active,68971.78,,,42,,2021-07-15
26,8,2,8,20200303,,Active,44242.65,,,20,,2021-04-27
27,9,1,39,20220417,,Active,24744.14,,,55,500.0,2023-04-24
28,9,9,14,20210731,,Active,105360.71,282972.22,,90,,2023-07-31
29,9,2,23,20190912,20221003.0,Closed,9116.08,,,14,,2023-03-14
30,10,1,12,20170426,,Active,31187.35,,,16,500.0,2021-02-27
31,10,8,7,20190421,,Active,482776.95,,689101.78,27,,2022-11-12
32,10,10,24,20230813,,Active,0.0,,,74,,2023-10-30
33,11,1,26,20160727,,Active,18439.56,,,45,500.0,2021-06-13
34,11,7,39,20180305,,Active,6801.8,,7876.93,93,,2019-04-07
35,11,4,38,20170516,,Active,120054.39,,,94,,2019-12-10
36,11,10,20,20170924,,Active,0.0,,,10,,2022-12-13
37,12,1,13,20230917,,Active,21436.93,,,97,500.0,2023-11-23
38,12,9,12,20220216,,Active,67060.34,188910.29,,45,,2023-09-25
39,12,7,23,20220302,,Active,33698.56,,47083.55,70,,2022-04-27
40,12,3,32,20221229,,Active,63035.01,,,56,,2023-02-25
41,13,1,1,20230403,,Active,24356.42,,,42,500.0,2023-06-16
42,13,7,4,20180413,,Active,9143.19,,23307.51,51,,2019-09-12
43,13,10,47,20230915,,Active,0.0,,,100,,2023-12-28
44,14,1,42,20191120,20221018.0,Closed,18765.4,,,1,500.0,2020-05-12
45,14,6,22,20201017,,Active,1528.64,2500.0,,53,,2022-04-25
46,14,7,28,20230410,,Active,4090.1,,5125.01,34,,2023-12-21
47,15,1,4,20230416,20230901.0,Closed,36501.09,,,100,500.0,2023-12-29
48,15,9,45,20220808,,Active,62674.88,149357.15,,81,,2023-08-27
49,15,7,12,20211128,,Active,20194.3,,27824.81,65,,2023-10-31
50,16,1,22,20211113,,Active,38174.97,,,1,500.0,2023-12-11
51,16,6,2,20210202,,Active,11186.32,25000.0,,82,,2023-08-18
52,16,3,12,20180316,,Active,36922.53,,,15,,2019-04-16
53,17,1,44,20230822,,Active,8810.45,,,93,500.0,2023-12-14
54,17,5,25,20190604,,Active,140287.97,,,18,,2022-02-10
55,18,1,19,20230120,,Active,4886.61,,,66,500.0,2023-10-18
56,18,8,6,20200619,,Active,573794.67,,790111.42,41,,2022-12-19
57,18,5,39,20190615,,Active,27179.19,,,43,,2023-03-26
58,18,4,36,20210906,,Active,151004.65,,,77,,2022-02-03
59,19,1,15,20210115,,Active,31640.05,,,43,500.0,2023-10-28
60,19,10,43,20231024,,Active,0.0,,,38,,2023-12-09
61,19,7,40,20210521,,Active,19351.21,,33229.19,97,,2021-08-06
62,20,1,49,20160404,,Active,17474.06,,,83,500.0,2019-02-17
63,20,7,36,20201006,,Active,7948.87,,37053.83,92,,2021-06-09
64,21,1,45,20200217,,Active,450.01,,,6,500.0,2020-12-11
65,21,7,49,20161115,20231225.0,Closed,5731.45,,9041.66,74,,2020-10-25
66,21,3,8,20191030,,Active,153463.15,,,11,,2023-04-08
67,22,1,37,20190226,,Active,42545.47,,,70,500.0,2021-01-27
68,22,8,21,20210117,,Active,271936.61,,296298.79,86,,2023-05-13
69,22,5,49,20180214,20181024.0,Closed,134838.8,,,42,,2023-02-28
