loan_id,customer_id,product_id,location_id,application_date_id,approval_date_id,loan_amount_requested,loan_amount_approved,approval_status,rejection_reason,interest_rate,interest_rate_type,loan_term_months,monthly_payment,outstanding_balance,total_paid,is_secured,collateral_type,collateral_value,credit_score_at_application,loan_status,missed_payments_count,days_past_due
1,3138,9,43,20230503,,271316.22,,Rejected,High Debt-to-Income Ratio,,Variable,0,,,,True,Property,637558.93,719,,0,0
2,3389,7,15,20220402,,22709.44,,Rejected,Incomplete Application,,Fixed,24,,,,False,,,668,,0,0
3,3377,8,29,20230810,20230812.0,978664.74,955586.0,Approved,,7.33,Fixed,240,7599.11,847441.69,108144.31,True,Property,1123091.64,731,Current,2,60
4,3798,7,22,20220814,20220905.0,13991.73,13270.85,Approved,,5.03,Fixed,48,305.8,12800.41,470.44,False,,,801,Current,2,60
5,646,7,15,20220206,20220210.0,33778.66,32240.82,Approved,,7.02,Fixed,36,995.8,24723.07,7517.75,False,,,661,Delinquent,0,0
6,652,7,40,20230626,20230702.0,12748.83,11836.07,Approved,,10.65,Fixed,48,303.9,10924.61,911.46,False,,,661,Current,0,0
7,938,7,37,20220911,,9602.65,,Rejected,Low Credit Score,,Fixed,36,,,,False,,,806,,0,0
8,4065,8,45,20230406,20230423.0,357558.95,353295.33,Approved,,4.37,Fixed,240,2210.41,269520.47,83774.86,True,Property,445312.34,741,Current,0,0
9,173,9,11,20221002,20221010.0,281851.37,245906.29,Approved,,6.75,Variable,0,,178922.23,66984.06,True,Property,567850.54,642,Current,0,0
10,1713,8,11,20230203,,409723.47,,Pending,,,Fixed,240,,,,True,Property,498113.77,723,,0,0
11,4885,9,34,20230124,,87909.26,,Rejected,Incomplete Application,,Variable,0,,,,True,Property,157854.73,642,,0,0
12,1199,9,26,20231008,20231024.0,93725.41,86049.41,Approved,,4.15,Variable,0,,68774.63,17274.78,True,Property,142244.26,642,Current,0,0
13,4002,7,48,20230818,20230831.0,46297.02,45646.88,Approved,,6.11,Fixed,24,2025.36,38743.8,6903.08,False,,,699,Current,0,0
